type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@shirz.t,Instagram,Shirz,Micro,15k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@sophiewillocq,Instagram,Sophie,Micro,87k,"Beauty, Fashion, KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@stellafanss,Instagram,Stella,Micro,38k,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@tr.ivia,Instagram,Tricia,Micro,"43,000","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@val.nsm,Instagram,Valerie,Micro,"82,000","UGC, Sports, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@vantanjy,Instagram,Vanessa Tan,Micro,14k,UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@vi.widjaja,Instagram,Vi,Micro,14k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@vivsbeautynotes,Instagram,Vivien,Micro,21k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],declined
ugc,@wantingw,Instagram,Wanting,Micro,33k,"Beauty, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@toh.wanyi,Instagram,Wanyi,Micro,14k,"Fashion, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@nicoweibin,Instagram,Weibin,Micro,19k,"Mum, Lifestyle, Others",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@wendisy,Instagram,Wendy,Micro,12k,"Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@sliceofwhit,Instagram,Whitney,Micro,13.1k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@winnexong,Instagram,Winnie,Micro,10k,"Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@woanying24,Instagram,Woanying,Micro,11k,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@missyqiqi,Instagram,Xiaoqi,Micro,22k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@yenser,Instagram,Yenser,Micro,16.9k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@yitinggoyt,Instagram,Yiting,Micro,53k,"KOL, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@you_yi,Instagram,You Yi,Micro,58k,"KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@linyuhsinx,Instagram,Yuhsin,Micro,40k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@lyqian,Instagram,Yunqian,Micro,"23,800","UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@thatszina,Instagram,Zina,Micro,64k,"KOL, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
